ID,Example,Synset Members,Not a problem,New Member,New Definition
ewn-00003864-r,"""for all his bluster he is in essence a shy person""","essentially, basically, fundamentally",,,
ewn-00012381-s,"""sex is a notional category, gender is a grammatical category""","conceptual",,,
ewn-00025027-v,"""She freshened up in the bathroom""","lave, wash up",,,
ewn-00027698-v,"""point a finger""","hold out, exsert, stretch out, stretch forth, put out, extend, endure, wear, wore, worn",,,
ewn-00027946-s,"""a confessed murderer""","self-confessed",,,
ewn-00027946-s,"""his admitted doubts""","self-confessed",,,
ewn-00027946-s,"""the conceded error""","self-confessed",,,
ewn-00044804-r,"""the boy and the policeman suddenly came face-to-face at the corner""","face to face",,,
ewn-00045694-r,"""we talked tete-a-tete""","tete a tete",,,
ewn-00075997-s,"""an assenting nod""","assentient",,,
ewn-00083236-s,"""a contentious nature""","combative, agonistic, bellicose, battleful, agonistical",,,
ewn-00083473-s,"""his self-assertive and ubiquitous energy""","militant, belligerent, hawkish, warlike, war-ridden, warring, competitive",,,
ewn-00092618-s,"""a watchful parent with a toddler in tow""","vigilant, wakeful, open-eyed, argus-eyed",,,
ewn-00092618-s,"""there was a watchful dignity in the room""","vigilant, wakeful, open-eyed, argus-eyed",,,
ewn-00098072-r,"""he is outright dishonest""","downright",,,
ewn-00103744-r,"""at first he didn't notice anything strange""","initially, ab initio",,,
ewn-00105117-s,"""an aggressive young executive""","pushful, pushy, pushier, pushiest",,,
ewn-00110877-n,"""his shot hit the rim and bounced out""","basketball shot",,,
ewn-00117989-r,"""our salaries put together couldn't pay for the damage""","jointly, collectively, together with, conjointly",,,
ewn-00117989-r,"""we couldn't pay for the damages with all our salaries put together""","jointly, collectively, together with, conjointly",,,
ewn-00119817-s,"""a dynamic full of life woman""","lively, livelier, liveliest, racy, racier, raciest, vital",,,
ewn-00120252-r,"""he was elected on his predecessor's coattails""","one one's coattails, on the coattails",,,
ewn-00120343-s,"""the party being dead we left early""","lifeless",,,
ewn-00134545-v,"""The oxide is alkalized""","alkalinize, alkalinise, alkalinise",,,
ewn-00137611-v,"""The court ruling struck a blow at the old segregation laws""","strike a blow",,,
ewn-00137816-s,"""a COD parcel""","cod, collect",,,
ewn-00138980-v,"""The tables are turned now that the Republicans are in power!""","turn the tide, turn the tables",,,
ewn-00149346-s,"""deep political machinations""","foxy, foxier, foxiest, dodgy, dodgier, dodgiest, knavish, slick, tricky, trickier, trickiest, wily, wilier, wiliest, tricksy, tricksier, tricksiest, guileful, cunning, crafty, craftier, craftiest, sly, slier, sliest, slyer, slyest",,,
ewn-00152103-s,"""the speaking animal""","speech-endowed",,,
ewn-00153553-s,"""a silent curse""","mute, wordless, tongueless, unspoken",,,
ewn-00159375-s,"""the engaged couple""","betrothed, bespoken",,,
ewn-00165213-s,"""rapt with wonder""","absorbed, captive, wrapped, engrossed, enwrapped, intent",,,
ewn-00171356-r,"""on paper the candidate seems promising""","theoretically",,,
ewn-00180111-s,"""authorized representative""","licenced, licensed, commissioned, accredited",,,
ewn-00186092-s,"""emergency police were on hand in case of trouble""","visible",,,
ewn-00186092-s,"""the cash on hand is adequate for current needs""","visible",,,
ewn-00195958-s,"""the situation became ugly""","forbidding, minacious, baleful, threatening, ominous, grim, grimmer, grimmest, minatory, menacing, sinister, dour",,,
ewn-00195958-s,"""ugly black clouds""","forbidding, minacious, baleful, threatening, ominous, grim, grimmer, grimmest, minatory, menacing, sinister, dour",,,
ewn-00202851-s,"""a backless dress""","low-cut",,,
ewn-00209099-v,"""His business went to pot when economy soured""","go to pot, go to the dogs",,,
ewn-00229886-s,"""the top graduate""","world-class, first, foremost",,,
ewn-00230077-s,"""my good clothes""","Sunday-go-to-meeting, go-to-meeting",,,
ewn-00246666-v,"""the biologist grows microorganisms""","culture",,,
ewn-00248588-v,"""multiply a letter""","manifold",,,
ewn-00254062-s,"""prisoners in chains""","chained, enchained",,,
ewn-00254786-r,"""they worked out an agreement unilaterally""","multilaterally",,,
ewn-00267851-a,"""a spineless craven fellow""","gutless",,,
ewn-00269249-s,"""the choking June dust""","suffocative, smothering, suffocating",,,
ewn-00283532-r,"""they handled the incident with kid gloves""","carefully, cautiously",,,
ewn-00283541-s,"""glossy auburn hair""","silky, silkier, silkiest, sleek, silklike, slick, silken, satiny",,,
ewn-00284175-v,"""The laboratory worker dyed the specimen""","stain",,,
ewn-00295445-s,"""shiftless idle youth""","work-shy, indolent, lazy, lazier, laziest, otiose, slothful, faineant",,,
ewn-00302292-s,"""a calculable risk""","estimable, computable",,,
ewn-00305469-s,"""a gusty storm with strong sudden rushes of wind""","blustering, blustery, blusterous",,,
ewn-00326578-v,"""deep-fry the potato chips""","deep-fat-fry",,,
ewn-00332957-r,"""try to breathe evenly""","regularly, on a regular basis",,,
ewn-00347368-v,"""He struck out on his own""","strike out, retire",,,
ewn-00353637-s,"""for my wedding I had my mother's wedding dress altered to fit me""","adjusted, familiarized, familiarised",,,
ewn-00355287-s,"""the amended bill passed easily""","revised",,,
ewn-00366341-s,"""solemn and mournful music""","sombre, somber, melancholy",,,
ewn-00369315-v,"""Yugoslavia broke apart after 1989""","break apart, disunify",,,
ewn-00371950-r,"""a cutting remark""","cuttingly",,,
ewn-00395623-a,"""the film was in color""","coloured, colored, colorful",,,
ewn-00397231-v,"""After many years the rose bushes grew together""","accrete",,,
ewn-00424520-s,"""oil-smeared work clothes""","smudgy",,,
ewn-00427109-v,"""Spring popped up everywhere in the valley""","burst out, pop out",,,
ewn-00427259-s,"""an indecent gesture""","obscene, repulsive, detestable, salacious, abhorrent, repugnant, lewd, raunchy, raunchier, raunchiest",,,
ewn-00427702-v,"""The sun broke through the clouds""","come through, break through, get through",,,
ewn-00433525-v,"""Prices shot up overnight""","shoot up",,,
ewn-00447342-s,"""hot on the trail""","warm, ardent",,,
ewn-00454147-s,"""a close friend""","buddy-buddy, thick, chummy, chummier, chummiest",,,
ewn-00462189-v,"""Wash ores""","hush",,,
ewn-00464282-s,"""a dark day""","leaden, weighted, heavy, heavier, heaviest, dull, plodding",,,
ewn-00465195-s,"""coastal shipping""","coastwise",,,
ewn-00469704-v,"""Orient the house towards the South""","reorient",,,
ewn-00484397-v,"""harmonize a building with those surrounding it""","proportion",,,
ewn-00485804-s,"""a commercial book""","mercantile, mercenary, moneymaking",,,
ewn-00492502-r,"""they live upcountry""","up-country",,,
ewn-00495057-s,"""a group effort""","communal",,,
ewn-00495342-s,"""community interests""","public",,,
ewn-00495342-s,"""community leaders""","public",,,
ewn-00506084-s,"""pianists of comparable ability""","comparable with",,,
ewn-00512936-v,"""The river foamed""","spume, froth, suds",,,
ewn-00512962-s,"""a competent job""","workmanlike",,,
ewn-00518285-s,"""a full share""","undivided",,,
ewn-00518464-a,"""a partial dose""","fractional",,,
ewn-00518935-s,"""fractional currency is currency in denominations less than the basic monetary unit""","divisional",,,
ewn-00521840-v,"""ionate thyroxine""","de-ionate",,,
ewn-00541229-s,"""a dense population""","thick",,,
ewn-00541427-s,"""a desk heaped with books""","cumulous",,,
ewn-00541427-s,"""heaped-up ears of corn""","cumulous",,,
ewn-00541427-s,"""ungraded papers piled high""","cumulous",,,
ewn-00544367-v,"""This fashion caught on in Paris""","catch on",,,
ewn-00550476-v,"""The dancers broke into a cha-cha""","break into",,,
ewn-00550476-v,"""The horse broke into a gallop""","break into",,,
ewn-00566245-s,"""conjunctive tissue in plants""","connective",,,
ewn-00594206-s,"""an ironclad contract""","watertight, bulletproof, unshakable, unassailable",,,
ewn-00606304-s,"""arguing children""","quarrelsome",,,
ewn-00621282-v,"""I mistook her for the secretary""","confound, confuse",,,
ewn-00629845-s,"""surrounded by tangible objects""","physical",,,
ewn-00631551-v,"""Every detail has been thought out""","think out",,,
ewn-00636568-v,"""did you get it?""","solve, lick, work, wrought, work out, figure out, resolve, clear, puzzle out",,,
ewn-00636568-v,"""Did you get my meaning?""","solve, lick, work, wrought, work out, figure out, resolve, clear, puzzle out",,,
ewn-00646885-s,"""an ingenious device""","imaginative, inventive",,,
ewn-00662334-n,"""he tried every treatment the doctors suggested""","therapy",,,
ewn-00663151-v,"""it has the distinction of being the cheapest restaurant in town""","have the distinction",,,
ewn-00665505-s,"""cut flowers""","severed, cut off",,,
ewn-00671161-v,"""She bore up under the enormous strain""","bear up",,,
ewn-00672374-s,"""an obsolete locomotive""","superannuated, overage, over-the-hill, overaged, outdated, out-of-date",,,
ewn-00672374-s,"""obsolete words""","superannuated, overage, over-the-hill, overaged, outdated, out-of-date",,,
ewn-00676197-s,"""a ready-made jacket""","off-the-peg, ready-to-wear, off-the-rack, off-the-shelf",,,
ewn-00679361-s,"""jam every other day""- the White Queen","alternate, alternating",,,
ewn-00688059-s,"""the crucial experiment""","deciding, determinant, determinative, determining",,,
ewn-00689424-v,"""I suspect her true motives""","doubt",,,
ewn-00689424-v,"""she distrusts her stepmother""","doubt",,,
ewn-00715296-s,"""an easy penalty""","lenient, indulgent, soft",,,
ewn-00715296-s,"""an easy teacher""","lenient, indulgent, soft",,,
ewn-00715296-s,"""easy standards""","lenient, indulgent, soft",,,
ewn-00716623-v,"""Let's associate freely to bring up old memories""","free-associate",,,
